id|trade_date|open|close|bid|ask|volume_pre|volume_post|volume
IBM:459200101|2011-11-02|184.000000|183.920000|183.880000|183.880000|141948.000000|10644.000000|3984111.000000
WMT:931142103|2011-11-02|56.770000|56.860000|56.860000|56.870000|309634.000000|5436.000000|8605377.000000
ORCL:68389X105|2011-11-02|31.960000|32.280000|32.290000|32.300000|861731.000000|18820.000000|25590322.000000
INTC:458140100|2011-11-02|24.020000|23.850000|23.840000|23.850000|1484375.000000|179969.000000|55038457.000000
SAP:803054204|2011-11-02|59.710000|60.250000|60.220000|60.230000|300.000000|11352.000000|1514561.000000
CAJ:138006309|2011-11-02|45.080000|45.040000|45.040000|45.060000|1100.000000|500.000000|219341.000000
EMC:268648102|2011-11-02|24.070000|24.310000|24.300000|24.310000|732967.000000|3700.000000|25420302.000000
POT:003493512|2011-11-02|46.96|46.76|46.76|46.76|9,005|19,226|7,921,861
GM:37045V100|2011-11-02|23.700000|23.200000|23.200000|23.200000|93130.000000|45100.000000|14230407.000000
TGT:87612E106|2011-11-02|53.330000|52.920000|52.920000|52.920000|284268.000000|66002.000000|11832712.000000
CCL:143658300|2011-11-02|33.720000|33.920000|33.930000|33.940000|22237.000000|7525.000000|5728345.000000
WIT:97651M109|2011-11-02|10.120000|10.100000|10.100000|10.110000|600.000000|200.000000|773128.000000
YUM:988498101|2011-11-02|53.090000|53.150000|53.120000|53.130000|32518.000000|225.000000|3284948.000000
BRCM:111320107|2011-11-02|34.810000|34.220000|34.220000|34.230000|130351.000000|3015.000000|8616728.000000
ASML:N07059186|2011-11-02|40.530000|40.460000|40.460000|40.480000|12600.000000|20811.000000|2175540.000000
AMAT:038222105|2011-11-02|12.000000|12.040000|12.030000|12.040000|398220.000000|1000.000000|12190794.000000
NVDA:67066G104|2011-11-02|14.200000|13.815000|13.810000|13.820000|406335.000000|24470.000000|23621531.000000
MRVL:G5876H105|2011-11-02|13.690000|13.600000|13.600000|13.610000|114761.000000|5300.000000|8568950.000000
MXIM:57772K101|2011-11-02|25.820000|25.630000|25.640000|25.650000|54508.000000|2190.000000|1680256.000000
STX:G7945M107|2011-11-02|16.270000|16.840000|16.840000|16.850000|415338.000000|900.000000|15120675.000000
DAL:247361702|2011-11-02|8.400000|8.250000|8.250000|8.260000|343104.000000|300.000000|11539383.000000
MCHP:595017104|2011-11-02|34.730000|34.620000|34.610000|34.620000|44906.000000|2166.000000|2200214.000000
STM:861012102|2011-11-02|6.700000|6.710000|6.690000|6.700000|3244.000000|7140.000000|2169972.000000
GIB:39945C109|2011-11-02|19.890000|20.110000|20.140000|20.160000|1200.000000|1769.000000|227500.000000
ATML:049513104|2011-11-02|9.800000|10.180000|10.180000|10.190000|867981.000000|119950.000000|17907033.000000
AAPL:037833100|2011-11-03|399.070000|403.070000|403.050000|403.060000|143943.000000|257056.000000|15367726.000000
AAp:01381720|2011-11-03||83.500000|82.010000|83.500000|||
MSFT:594918104|2011-11-03|26.240000|26.530000|26.510000|26.520000|6546764.000000|285622.000000|59004625.000000
IBM:459200101|2011-11-03|185.130000|187.300000|187.220000|187.000000|244394.000000|45190.000000|4664053.000000
WMT:931142103|2011-11-03|57.050000|57.420000|57.420000|57.430000|174588.000000|14962.000000|9386039.000000
ORCL:68389X105|2011-11-03|32.260000|33.110000|33.100000|33.110000|706778.000000|45142.000000|26715224.000000
INTC:458140100|2011-11-03|23.790000|24.200000|24.190000|24.200000|1674892.000000|471294.000000|56150159.000000
SAP:803054204|2011-11-03|60.850000|61.980000|62.000000|62.010000|313493.000000|24644.000000|1857851.000000
CAJ:138006309|2011-11-03|45.230000|45.370000|45.380000|45.410000|1100.000000|500.000000|183004.000000
EMC:268648102|2011-11-03|24.560000|25.000000|24.980000|24.990000|277323.000000|33406.000000|18838778.000000
POT:003493512|2011-11-03|47.64|47.73|47.74|47.75|39,810|28,841|7,913,443
GM:37045V100|2011-11-03|23.820000|24.030000|24.030000|24.030000|1321932.000000|200421.000000|18432225.000000
TGT:87612E106|2011-11-03|51.680000|52.240000|52.230000|52.240000|498147.000000|180552.000000|9366243.000000
CCL:143658300|2011-11-03|34.530000|34.380000|34.360000|34.370000|41758.000000|4124.000000|3952067.000000
WIT:97651M109|2011-11-03|10.160000|10.250000|10.230000|10.240000|600.000000|6185.000000|650429.000000
YUM:988498101|2011-11-03|53.630000|54.040000|54.020000|54.030000|36460.000000|2069.000000|3067020.000000
BRCM:111320107|2011-11-03|34.630000|35.390000|35.380000|35.390000|428956.000000|11394.000000|7643439.000000
ASML:N07059186|2011-11-03|41.110000|42.180000|42.150000|42.170000|12600.000000|270136.000000|2307769.000000
AMAT:038222105|2011-11-03|12.120000|12.360000|12.360000|12.370000|377656.000000|7438.000000|12968130.000000
NVDA:67066G104|2011-11-03|13.970000|14.650000|14.630000|14.640000|651028.000000|68508.000000|18014742.000000
MRVL:G5876H105|2011-11-03|13.720000|13.900000|13.890000|13.900000|334623.000000|8240.000000|11447806.000000
MXIM:57772K101|2011-11-03|25.890000|26.490000|26.490000|26.510000|31057.000000|400.000000|1810235.000000
STX:G7945M107|2011-11-03|17.300000|17.290000|17.300000|17.310000|99923.000000|167705.000000|18812859.000000
DAL:247361702|2011-11-03|8.410000|8.300000|8.290000|8.300000|137724.000000|10827.000000|12894491.000000
MCHP:595017104|2011-11-03|34.850000|35.770000|35.740000|35.770000|82155.000000|730.000000|2656442.000000
STM:861012102|2011-11-03|7.100000|7.350000|7.360000|7.370000|3244.000000|20342.000000|3352572.000000
GIB:39945C109|2011-11-03|20.300000|20.540000|20.520000|20.540000|1200.000000|1769.000000|213239.000000
ATML:049513104|2011-11-03|10.300000|10.440000|10.430000|10.440000|356657.000000|2176.000000|7686468.000000
AAPL:037833100|2011-11-04|402.030000|400.240000|400.240000|400.250000|432787.000000|162121.000000|10198948.000000
AAp:01381720|2011-11-04||80.500000|79.050000|83.650000|||
MSFT:594918104|2011-11-04|26.380000|26.250000|26.250000|26.260000|688960.000000|95729.000000|35768580.000000
IBM:459200101|2011-11-04|186.270000|186.380000|186.410000|186.450000|92755.000000|8112.000000|3137007.000000
WMT:931142103|2011-11-04|57.080000|57.500000|57.480000|57.490000|164763.000000|9511.000000|6832402.000000
ORCL:68389X105|2011-11-04|32.820000|32.550000|32.550000|32.560000|2106741.000000|26836.000000|21704301.000000
INTC:458140100|2011-11-04|24.040100|23.740000|23.730000|23.740000|979963.000000|69480.000000|45426559.000000
SAP:803054204|2011-11-04|60.860000|61.070000|61.040000|61.070000|24100.000000|24100.000000|2934446.000000
CAJ:138006309|2011-11-04|44.740000|44.600000|44.550000|44.580000|700.000000|500.000000|392443.000000
EMC:268648102|2011-11-04|24.720000|24.670000|24.680000|24.680000|2116370.000000|8300.000000|18437275.000000
POT:003493512|2011-11-04|47.45|48.05|48.08|48.08|17,260|24,671|5,744,432
GM:37045V100|2011-11-04|23.890000|23.610000|23.600000|23.610000|43357.000000|12465.000000|9398236.000000
TGT:87612E106|2011-11-04|52.070000|52.170000|52.180000|52.190000|61422.000000|1090.000000|5202924.000000
CCL:143658300|2011-11-04|33.960000|34.080000|34.080000|34.080000|28360.000000|2268.000000|2605630.000000
